,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2000-04-04,660329600.0,14755200.0,14593511.0,4004200.0,7259000.0,,10846100.0,7643400.0,7049975.0,,3739600.0,8188500.0,2987719.0,16667200.0,87341800.0,22024200.0,12638700.0,27390200.0,5145500.0,4841000.0,12027800.0,181244400.0,12149600.0,27514000.0,1644700.0,8253600.0,,7770180.0,5429700.0,13675800.0
2000-04-05,457665600.0,10977800.0,8735748.0,2919900.0,3759200.0,,64975400.0,2959200.0,5140193.0,,3238700.0,5348300.0,1990204.0,8693500.0,62101800.0,14044800.0,7310700.0,20256600.0,4143600.0,2875800.0,6247600.0,82887600.0,5654400.0,13620000.0,754000.0,5006400.0,,3569241.0,2186700.0,7066000.0
2000-04-06,259627200.0,10843500.0,9322175.0,2970400.0,2104800.0,,43823900.0,2299000.0,3615509.0,,1675700.0,4234800.0,1841888.0,8887400.0,55134000.0,8297000.0,4853400.0,20675000.0,4124100.0,1756400.0,6228000.0,66421400.0,11058400.0,7827000.0,1125800.0,5516000.0,,3068420.0,1936800.0,7254200.0
2000-04-07,242435200.0,8580600.0,6879127.0,2381600.0,2937400.0,,44893800.0,2876000.0,3298023.0,,1373500.0,3425100.0,1321523.0,5380300.0,51357200.0,6315000.0,4914150.0,12374000.0,3155400.0,2501200.0,3322400.0,82613600.0,12285600.0,7794800.0,626200.0,5463200.0,,4906247.0,1806900.0,4013100.0
2000-04-10,212262400.0,9390100.0,8168514.0,2452600.0,1890600.0,,42264200.0,2417600.0,3665585.0,,1749900.0,3992300.0,2335716.0,5507300.0,44849000.0,8393600.0,7864950.0,12903000.0,3234600.0,2110600.0,4710800.0,60685400.0,6696800.0,11747000.0,512100.0,7511200.0,,3734032.0,2394400.0,5521000.0
2000-04-11,541822400.0,7586200.0,8784417.0,2251100.0,3531600.0,,58865900.0,3443400.0,6923365.0,,1147200.0,3714600.0,2895519.0,7738700.0,53071200.0,8903800.0,8217150.0,12096400.0,3354100.0,2952200.0,5705900.0,71961800.0,18799200.0,10197600.0,557300.0,10399200.0,,3090659.0,2921300.0,5355400.0
2000-04-12,941136000.0,7345800.0,11771393.0,4620200.0,4224400.0,,94231500.0,2795400.0,8414293.0,,2598500.0,7081600.0,2072649.0,8885200.0,60169600.0,7528200.0,9133350.0,15586400.0,4548200.0,2454600.0,5840100.0,153003800.0,9212800.0,20645800.0,1086300.0,10133600.0,,4545643.0,3910300.0,7243300.0
2000-04-13,529827200.0,8131900.0,9081572.0,2916700.0,4334200.0,,104047300.0,5013200.0,5078459.0,,3377700.0,7953100.0,4517241.0,8236400.0,69414600.0,7071400.0,6781050.0,8892800.0,7400300.0,4152200.0,4871700.0,94316200.0,9680000.0,11353400.0,729200.0,13784000.0,,3273241.0,2973600.0,7884500.0
2000-04-14,667620800.0,12667000.0,15655318.0,3744900.0,4287000.0,,14575300.0,3769400.0,8248251.0,,4855800.0,7695600.0,3362705.0,11782000.0,92800400.0,8469200.0,13084500.0,9488200.0,5744700.0,6141600.0,6155600.0,151217800.0,17863200.0,17381800.0,756600.0,5155200.0,,4372624.0,3525800.0,9372700.0
2000-04-17,409561600.0,12355900.0,10543357.0,3761600.0,3754200.0,,12074800.0,3983000.0,6537253.0,,3489600.0,8667000.0,2304353.0,9969500.0,88873400.0,11978200.0,8708700.0,10710200.0,4728900.0,2893600.0,6261100.0,119772200.0,12481600.0,15054000.0,996200.0,5120800.0,,3963427.0,3075700.0,9660500.0
2000-04-18,390924800.0,9480500.0,6599109.0,3379100.0,9957200.0,,80723900.0,3010400.0,4275520.0,,2191500.0,7233700.0,2335716.0,8205500.0,98558000.0,14995000.0,6833400.0,13001000.0,5440000.0,2419200.0,4600700.0,91794600.0,11352000.0,14387600.0,622600.0,4708000.0,,3324835.0,1767500.0,7661200.0
2000-04-19,520150400.0,9010200.0,5586999.0,5749000.0,8557000.0,,51863900.0,3027000.0,8579219.0,,1390200.0,5078400.0,2327534.0,14674500.0,87377800.0,7797600.0,9057150.0,10073200.0,3473000.0,1665200.0,8176700.0,53715400.0,9402400.0,7923200.0,678400.0,5062400.0,,2446174.0,1394300.0,6255300.0
2000-04-20,722120000.0,7848300.0,5357020.0,8110700.0,4924600.0,,36551400.0,2225200.0,5438824.0,,1061100.0,4111100.0,2306136.0,10633300.0,45799000.0,5635400.0,4540650.0,8278600.0,7009700.0,1983800.0,6542000.0,52387400.0,6341600.0,8139200.0,1593500.0,9542400.0,,2282829.0,1515700.0,6090400.0
